	B73-1	B73-2	B73-3	DK105-1	DK105-4	DK105-6	PH207-3	PH207-4	PH207-5	F2-1	F2-2	F2-5
ENSRNA049453841	33.338357	2.102373	15.801636	14.944763	17.655906	19.308937	27.292919	18.800478	6.324796	7.079282	4.726401	13.131865
ENSRNA049453982	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454111	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454125	15.123959	0	21.967856	10.811625	41.216629	23.281217	12.609931	30.443194	16.570719	11.915959	21.743939	4.346861
ENSRNA049454203	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454254	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454268	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454282	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454293	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454366	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454404	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454571	24.848782	6.180691	8.108515	2.528256	0	5.694156	4.30503	1.234064	12.512134	4.177983	2.79782	3.084716
ENSRNA049454705	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454750	3.815967	0	3.164748	0	0	0	0	0	0	0	0	0
ENSRNA049454767	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454868	0	0	0	0	0	0	0	0	0	1.885532	1.430955	0
ENSRNA049454877	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454895	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454938	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454976	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049454997	0	1.160742	0	0	0	0	2.017877	0	0	0	4.267112	4.347062
ENSRNA049455185	16.466193	4.444589	16.699176	9.046329	4.673433	5.111681	5.782847	4.425004	11.11688	19.976191	2.495528	13.884029
ENSRNA049455219	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049455242	0	0	0	0	0.001318	0	0	0.000124	0	0	0	0
ENSRNA049455261	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049455282	0	0	0	0	0	0	0.082989	0	0	0	0	0
ENSRNA049455301	0	0	0	0	0	0	0.082989	0	0.289326	0	0	0
ENSRNA049455313	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049455334	0	0	0	0	0	0	0.082989	0	0.289326	0	0	0
ENSRNA049455358	0	0	0	0	2.155194	0	0	0.295951	0	0	0	0
ENSRNA049455410	0	0	0	3.581413	0	0	0	0	3.309346	0	0	0
ENSRNA049455425	0	0	0	1.223892	0	0	0	0	0	0	0	0
ENSRNA049455527	2.055782	5.85572	3.65348	13.839404	2.050077	2.236194	0	7.759549	3.903522	6.547124	6.579211	12.169241
ENSRNA049455555	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049455608	296.959215	268.201395	428.549657	396.013979	51.293357	143.932422	202.922733	332.500287	839.249834	70.242348	163.092223	116.594429
ENSRNA049455651	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049455662	0	0	0	0	1.511535	0	2.500792	4.157226	0	0	3.056308	5.21607
ENSRNA049455682	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049455853	0	0	0	0	2.354855	0	0	0	0	6.296517	1.767667	0
ENSRNA049455955	1661.58085	1441.812812	2042.588181	2112.43725	174.015689	721.359465	1059.69039	2108.349911	1079.870755	1032.064347	1557.677877	829.387962
ENSRNA049456141	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049456187	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049456199	26.282011	34.357393	23.450223	0	0	0	0	4.32024	0	13.644324	23.521852	20.512724
ENSRNA049456227	18.512557	33.51579	25.347698	19.442225	25.159359	10.978372	27.633823	17.450479	25.680375	8.930093	21.616412	11.910189
ENSRNA049456243	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049456278	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049456300	0	3.316803	0	3.906902	13.107705	14.808602	3.516446	3.191407	0	16.903846	25.43204	4.403015
ENSRNA049456343	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049456385	3.667475	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049456396	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049456416	0	0	2.996324	0	0	0	0	0	3.217612	0	0	0
ENSRNA049456552	611.132565	230.306872	663.965348	875.163028	60.527059	182.971986	443.364092	315.591864	1330.904983	135.750434	134.598522	180.543806
ENSRNA049456609	1.288797	0	0.209873	0	0	0	3.855232	0	0	4.994048	0	0
ENSRNA049456636	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049456661	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049456692	0	0	3.21789	0	0	0	3.303979	20.668441	0	0	0	8.871148
ENSRNA049456702	0	0	3.095159	3.5145	0	0	9.176274	16.523827	19.728165	0	3.587275	8.548636
ENSRNA049456719	3.709588	0	9.324647	0	3.80067	0	9.276503	0	33.008468	0	9.58483	0
ENSRNA049456746	11.002426	3.283463	6.190319	0	7.566132	0	0	0	0	0	4.781159	0
ENSRNA049456769	13.993067	6.326002	0	0	3.315532	3.720248	20.310089	16.082121	6.435223	0	0	0
ENSRNA049456789	3.667475	13.133851	1.54758	0	15.132263	15.435286	1.529379	12.790351	10.960091	0	10.761824	4.274318
ENSRNA049456826	0	0	0	0	3.339962	0	0	0	0	0	0	0
ENSRNA049457014	0	0	0	1.877593	0	0	0	0	0	0	0	0
ENSRNA049457038	0	0	2.522	0	0	0	0	0	0	0	0	0
ENSRNA049457187	25.908866	6.532229	31.379665	44.145747	0	32.006387	18.454051	22.926262	0	21.528461	5.441893	25.876821
ENSRNA049457201	3284.971413	2042.967323	3445.445149	3796.51237	276.155332	1397.202941	2669.364728	3175.406188	6110.502489	1014.08608	1488.674088	750.185148
ENSRNA049457226	0	0	0	0	0	0	0	0	0	0.291821	0	1.273669
ENSRNA049457253	1.989858	24.790672	7.930516	18.923422	6.64609	3.730651	5.108883	18.331292	10.60408	6.158632	21.462435	6.606447
ENSRNA049457279	43.47743	45.698369	43.087733	31.265256	20.315291	49.83391	43.81094	72.210952	47.422589	32.928655	62.714031	29.719989
ENSRNA049457302	43.47743	45.698369	43.087733	31.265256	20.315291	49.83391	43.81094	72.210952	47.422589	32.928655	62.714031	29.719989
ENSRNA049457319	4852.748371	3596.731621	5292.341226	5907.764669	139.569871	1970.222249	3733.598191	5907.736604	1529.096978	916.981302	2636.981896	393.002728
ENSRNA049457334	9.928375	7.520637	10.549963	28.644721	5.928561	21.557057	34.131081	9.346322	7.524208	16.852422	14.802164	2.344831
ENSRNA049457359	76.499463	79.000261	50.779283	40.207014	31.183572	50.489672	77.656635	127.048915	69.774096	24.096406	93.203202	30.918706
ENSRNA049457460	1607.823182	2167.018453	2932.365153	3737.622557	136.343416	1135.589201	2137.108749	3651.89554	970.491105	563.974349	1654.469339	234.082999
ENSRNA049457503	13.907537	12.569732	18.775007	31.831195	3.157308	9.78604	38.275327	18.769685	13.119722	24.83674	10.139477	4.087525
ENSRNA049457531	19.932208	10.281901	8.014699	36.61899	3.606021	3.933782	14.84607	25.562664	5.163785	17.294144	3.866278	6.407569
ENSRNA049457554	0.648933	0.640804	0	2.193327	0	0.776029	1.101671	1.597234	2.083674	0.362781	0.370359	0
ENSRNA049457592	1.765056	0	0	0	0	0	0	0	1.558043	0	0	0
ENSRNA049457729	4.094162	9.95041	3.19587	3.906902	3.276926	25.915054	0	0	0	0	6.35801	4.403015
ENSRNA049457749	0	1.59599	0	3.240371	15.095616	5.489186	9.671838	12.691257	4.81507	3.572037	1.801368	0
ENSRNA049457777	0	10.145707	3.226834	11.367061	6.751538	19.04244	0	6.825395	0	0	6.767122	0
ENSRNA049457806	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049457944	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049458154	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049458208	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049458245	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049458293	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049458322	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049458369	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049458390	5.654229	3.9632	2.48384	4.084638	9.687102	9.1919	6.954348	13.191246	10.5614	16.532951	25.237626	10.007564
ENSRNA049458426	3.999691	0	16.061663	7.56967	33.309142	11.33315	3.38995	6.793361	9.427447	0	0	13.195945
ENSRNA049458448	20.787551	68.904661	62.42769	23.31912	118.334366	58.920843	17.22526	70.066548	60.828039	51.750544	80.573778	32.671407
ENSRNA049458467	7.758384	13.729929	0	0	10.345621	11.655774	0	17.230797	3.315846	0	7.134379	22.170413
ENSRNA049458495	0	29.69375	0	10.654474	0	31.00095	12.368671	0	0	0	7.187214	4.299668
ENSRNA049458540	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049458582	0	6.707001	6.424665	0	0	0	0	3.39668	0	0	13.420263	0
ENSRNA049458611	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049458634	0	0	0	0	3.347595	0	0	0	0	0	0	0
ENSRNA049458655	3.771417	0	0	2.852504	0	0	0	0	0	0	0	0.45112
ENSRNA049458671	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049458691	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049458706	0	0	0	0	0	0	0	6.731229	0	0	0	0
ENSRNA049458722	0.029077	19.184239	0	0.578734	13.318994	0	0	0	0	0	12.705155	1.429789
ENSRNA049458742	0	0	0	0	0	0	0	0	0	0	0	1.429789
ENSRNA049458758	68.626152	95.146208	53.680811	58.060365	110.420272	89.291375	57.566755	119.36932	53.093098	71.204606	93.887405	70.036233
ENSRNA049458782	67.421664	86.458449	44.736279	10.755122	22.849324	18.489943	37.670854	60.418095	45.853763	12.590464	24.854371	21.99162
ENSRNA049458795	33.339396	53.506445	20.452734	34.67452	45.913761	47.732391	35.866526	26.625631	29.075069	24.604827	51.915043	67.349056
ENSRNA049458812	44.763363	33.920413	38.029007	75.973236	113.100255	110.737151	45.692135	49.832915	34.946512	114.137806	88.551419	64.768119
ENSRNA049458826	151.133532	171.329384	189.850061	129.202451	326.963575	377.926308	95.471702	229.27138	87.283332	328.624108	441.962432	450.24241
ENSRNA049458846	21.246759	20.100711	18.815693	19.005644	27.129508	21.462315	8.724852	30.032996	20.314063	35.505664	19.463031	8.947967
ENSRNA049458857	0	0	0	20.65683	34.305877	28.176907	19.856083	16.704382	8.381402	25.919896	61.712498	42.588966
ENSRNA049458874	15.115727	15.11529	8.257058	17.223199	17.668949	26.856748	13.199965	19.246475	28.254796	26.231647	34.586657	38.040114
ENSRNA049458957	32.608072	114.245922	98.486247	79.900099	260.712904	276.003192	36.25733	170.680433	127.55041	112.344822	215.019536	305.691318
ENSRNA049458986	44.099272	57.492342	61.309846	45.468245	202.546144	190.424404	33.838983	54.603161	99.011241	127.609771	152.260244	184.903188
ENSRNA049459008	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049459026	0	0	3.21789	0	9.18163	0	6.607959	3.44474	23.075044	0	10.607938	3.642397
ENSRNA049459056	39.854311	19.585015	46.165428	13.895669	16.929409	19.166888	21.150109	16.41158	22.893663	7.747919	7.167318	38.211415
ENSRNA049459076	85.875092	84.101759	85.476523	68.685288	84.070938	79.812534	125.185868	127.291532	65.0108	65.114675	60.746563	71.593967
ENSRNA049459101	53.663733	71.960869	42.269592	47.419825	84.455968	92.505056	42.873695	75.928632	47.071395	104.66304	137.150411	103.790108
ENSRNA049459132	94.889051	82.378398	95.159428	12.927881	5.695041	3.399044	81.068272	91.609554	71.10128	20.367512	18.802604	33.152893
ENSRNA049459156	48.081291	88.585412	78.555767	83.486029	93.073372	93.428323	119.32849	89.228429	53.871554	102.841113	75.988028	102.484227
ENSRNA049459180	88.938257	37.105209	32.404317	27.787064	33.7064	34.325193	38.72329	59.070368	59.908307	54.990233	94.5753	40.362442
ENSRNA049459199	0	2.357676	2.209492	3.61379	0	0	0	1.17663	0	0	0	0
ENSRNA049459243	0.003496	0	0	0	6.853943	11.57529	0	0	0	0	0	0
ENSRNA049459267	3259.707215	3720.137537	4427.64419	3772.561581	561.540951	1806.598439	2765.537169	4858.264102	8318.681606	1022.114549	2519.717174	1503.933555
ENSRNA049459284	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049459300	611.560984	558.244662	829.939309	712.576777	84.514752	330.065789	505.592208	841.165131	1846.817131	188.955787	397.62047	196.588163
ENSRNA049459370	0	0	0	15.156082	16.878845	7.616976	0	0	0	0	0	0
ENSRNA049459418	0.648938	0.640808	0	2.193139	0	0.776036	1.058449	1.597235	2.07306	0.362786	0.371232	0
ENSRNA049459426	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049459435	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049459505	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049459562	0	0	0	0.674652	0	0	0	0	0	0	0	0
ENSRNA049459593	0	0	0	0	0	1.115355	0	6.412555	0	0	0	0
ENSRNA049459608	0	0	0	0	0	0	0	0	0	0	1.201711	0
ENSRNA049459632	1.934003	0	0	5.086388	4.076196	5.986124	3.250145	2.027489	0.952061	1.983729	2.540888	0.661374
ENSRNA049459657	0	0	0	0	0	0	0.546005	0	0	0.770346	0	0.623198
ENSRNA049459739	0	0.722188	0	0	0	0	0	0	0	0	0	0
ENSRNA049459805	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049459833	0	12.41489	14.750021	3.301105	29.312721	7.300155	0	25.222609	19.077337	7.322677	17.356773	16.177305
ENSRNA049459870	0	3.39946	16.121417	0	10.287621	0	0	23.960469	6.500022	0	3.448842	13.28079
ENSRNA049459897	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049459930	8.889192	13.463775	18.883287	0	0	0	0	0	0	0	0	0
ENSRNA049460030	0	0	15.475797	3.5145	19.092262	0	3.058758	0	3.288027	7.824023	25.110922	12.822953
ENSRNA049460066	3.78099	10.034752	12.55306	3.603875	6.869438	3.880203	0	13.530308	0	3.971986	10.87197	4.346861
ENSRNA049460114	0	0	0	2.576229	2.635407	2.900407	2.193631	0	0	0	8.490369	3.162524
ENSRNA049460134	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049460151	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049460169	12.865245	14.599983	15.963362	0	0	0	1.064024	0	0	9.595437	5.507937	1.518051
ENSRNA049460361	17.023697	0	7.910428	0	0	0	0	0	0	0	0	0
ENSRNA049460379	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049460392	0	0	0	0	2.811204	0	0	0	0	3.056789	24.108898	3.392507
ENSRNA049460407	0	0	0	1.508216	4.772569	0	1.912606	0	0.847998	0	0	0
ENSRNA049460422	71.997793	43.734052	61.015278	71.813993	3.249133	20.40862	51.058236	67.777623	43.567108	17.303069	34.395994	12.313454
ENSRNA049460512	0	0	0	0	0	108.009802	0	0	0	0	0	2.199793
ENSRNA049460546	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049460564	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049460670	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049460686	2.670926	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049460705	31.82353	15.990979	15.118383	44.163737	20.039771	75.234396	67.594887	19.460317	42.025091	11.34871	17.775712	8.342873
ENSRNA049460733	2.615831	2.473681	4.629188	12.630483	57.041599	19.929994	17.210351	12.306327	4.932571	2.787177	0	0
ENSRNA049460753	0	0	2.272526	32.197769	15.304587	47.51931	4.219591	7.261536	9.69169	5.467739	5.464741	9.141833
ENSRNA049460770	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049460809	3.995246	32.264711	16.137745	15.150888	0.00222	0.008193	6.74468	17.082394	19.365525	6.18262	11.950391	6.62117
ENSRNA049460846	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049460861	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049460941	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049460987	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049461002	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049461178	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049461227	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049461441	0	17.093777	25.317985	0	86.516394	54.374742	3.216159	92.402476	63.071365	15.979889	39.526335	39.565969
ENSRNA049461457	0	6.79892	7.094551	11.331421	35.659901	38.639279	6.70957	38.624487	20.572618	28.847699	57.233666	24.590208
ENSRNA049461468	0	4.947361	2.314594	0	2.5928	0	4.302588	4.922531	0	0	0	0
ENSRNA049461479	0	0	0	0	13.778695	23.311248	6.607959	24.113181	6.59287	0	3.535979	0
ENSRNA049461505	0	0	6.455098	3.787722	3.405151	7.677409	13.489361	20.498873	3.631036	0	23.900783	30.898792
ENSRNA049461520	0	0	0	0	0	3.544556	0	0	3.07856	0	0	0
ENSRNA049461533	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049461556	17.162153	6.207445	0	16.505526	42.340597	10.950232	25.588634	31.528261	22.256894	18.306692	13.885419	24.265957
ENSRNA049461578	3.802591	13.491033	3.150233	7.237285	10.323267	46.558381	6.356308	13.59348	33.167959	35.779393	61.631934	34.901907
ENSRNA049461590	12.444869	5.048916	7.868036	1.710625	19.475264	3.862736	5.828742	6.695142	13.529456	3.771063	13.295489	23.062874
ENSRNA049461612	16.989504	30.769517	20.474743	26.151435	70.997209	83.201259	70.322581	78.020045	40.945789	14.501519	55.031119	20.013336
ENSRNA049461634	29.676705	26.394445	37.298587	81.684299	208.629306	189.880817	52.566852	93.313563	59.415242	15.770693	32.342465	30.097673
ENSRNA049461656	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049461681	0	0	0	0	0	0	3.122996	6.720971	0	0	0	0
ENSRNA049461704	0	0	3.21789	26.07211	0	0	3.303979	0	7.911444	0	0	0
ENSRNA049461717	3.914236	13.671748	16.08945	0	24.112717	15.540832	6.607959	31.002662	11.867166	0	7.071959	17.742295
ENSRNA049461732	6.182144	0	5.445581	29.892584	60.581062	37.008761	20.438584	17.362137	34.773865	16.556384	25.833215	25.766926
ENSRNA049461747	41.235183	53.110337	46.838793	7.162826	41.148455	50.453589	12.491985	47.046794	33.093456	35.66666	68.567402	34.599316
ENSRNA049461765	10.468995	11.571608	4.63523	3.357865	7.557282	13.27561	7.153828	13.152676	18.277289	3.701366	27.992263	10.290429
ENSRNA049461783	0	0	0	0	0	0	0	0	3.003299	0	0	0
ENSRNA049461861	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049461886	0	0	0	0	0	0	0	0	3.296435	0	0	0
ENSRNA049461913	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049462043	19.45496	15.603106	26.872706	10.700913	5.447419	9.029465	27.333946	12.973113	33.79719	0	0	0
ENSRNA049462054	9.596291	15.140286	8.494978	4.618798	7.949708	1.737579	27.586479	19.578077	25.962526	15.290262	25.62246	24.508414
ENSRNA049462071	3.07816	1.461735	4.829612	0	1.546688	4.259288	0.637535	2.245659	4.442336	0	0.837286	0
ENSRNA049462239	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049462250	673.883512	723.879149	978.237948	820.200929	103.536302	389.821505	582.374383	933.813692	1802.214131	193.661921	502.525284	270.506355
ENSRNA049462284	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049462303	0	0	0	0	0	0	17.812987	16.321938	156.30142	0	0	0
ENSRNA049462331	4.852999	1.291674	3.643625	0	0	0	0.539398	0.754289	5.739781	0	0	0
ENSRNA049462348	2089.427546	1608.9546	2637.417211	2735.601345	255.699226	1151.047706	1835.486578	2494.027058	5256.083817	742.910384	1183.164936	625.23031
ENSRNA049462493	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049462522	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049462641	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049462656	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049462687	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049462736	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049462828	0	0	0	3.362876	0	0	0	0	0	0	0	0
ENSRNA049462923	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049462956	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463024	7.999382	6.707001	9.636998	0	10.042786	15.110867	0	30.570124	18.854893	0	6.710132	4.398648
ENSRNA049463047	0	0	0	3.784684	0	0	0	0	0	0	23.113392	0
ENSRNA049463067	7.99401	16.981427	9.682647	0	6.810302	15.354819	3.37234	23.915352	25.8207	0	37.558373	48.555245
ENSRNA049463085	7.966393	6.650145	3.190059	7.560118	9.989246	3.749689	3.394805	16.828072	9.248438	0	6.660148	8.805411
ENSRNA049463137	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463188	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463218	0	0	0	5.298267	12.083778	4.481996	0	0	0	0	0	0
ENSRNA049463233	0	0	0	0	0	0	0	7.512424	0	0	0	0
ENSRNA049463340	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463396	7.694664	0	3.185526	14.689372	6.917503	7.767945	3.256733	10.32589	6.64838	8.090991	3.580923	0
ENSRNA049463412	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463431	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463447	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463500	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463531	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463546	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463586	7.966393	23.275509	6.380118	11.340177	9.989246	52.495641	3.394805	26.924915	36.993752	12.290124	43.290962	30.818937
ENSRNA049463630	16.036099	43.964732	29.041506	3.78902	74.26692	26.659417	20.30339	20.476185	25.551288	37.047998	50.753415	26.414741
ENSRNA049463648	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463667	0	0	0	3.555244	1.83615	4.006133	0	1.735312	0	1.958538	1.967294	2.175846
ENSRNA049463686	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463701	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463715	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049463738	3.847332	41.020475	0	5.150819	28.61331	30.208677	6.203301	19.454575	10.388094	78.511511	54.411432	22.150847
ENSRNA049463761	3.847332	24.612285	0	30.904912	0	18.125206	12.406601	38.90915	10.388094	21.41223	12.091429	22.150847
ENSRNA049463774	26.158665	12.454208	22.826016	0	0	0	0	0	0	0	0	0
ENSRNA049463790	0	0	0	1.204597	0	0	0	0	1.192952	2.655885	0	0
ENSRNA049463813	55.600133	44.161004	62.364795	21.093751	25.504072	13.038816	40.233017	24.273285	25.868244	4.630192	3.045168	1.790033
ENSRNA049463828	68.477199	51.868866	80.646453	33.728704	31.043195	35.308506	100.922362	42.358673	85.977426	7.967655	5.338992	11.771244
ENSRNA049463846	34.86112	36.543974	21.134649	2.409193	8.82138	13.908498	14.632729	10.922696	8.833029	9.845888	15.907992	12.61448
ENSRNA049463865	57.27184	58.941893	41.980345	0	0	0	84.063252	56.478231	75.155949	0	0	0
ENSRNA049464122	0	11.070504	8.988973	0	3.315532	0	0	0	0	0	0	0
ENSRNA049464139	3.498267	0	0	16.81438	0	0	0	0	9.652835	0	0	0
ENSRNA049464209	0	0	0	0	0	0	6.513466	0	0	0	7.161847	0
ENSRNA049464241	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049464263	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049464284	0	0	0	0	0	3.582025	5.558017	0	0	0	0	0
ENSRNA049464403	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049464595	121.341305	167.478919	128.715602	0	0	0	0	0	0	0	0	0
ENSRNA049464622	149.338433	169.980157	102.284474	0	0	0	0	0	0	0	0	0
ENSRNA049464727	0	3.103723	0	0	0	0	0	0	0	0	0	0
ENSRNA049464922	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049464940	8.012777	0	9.431655	5.152457	0	0	8.774523	2.504141	2.511023	2.841521	0	0
ENSRNA049464954	13.354628	2.515723	9.431655	2.576229	5.270815	0	21.936308	15.024848	5.022047	0	2.830123	12.650094
ENSRNA049464979	21.468773	25.877464	9.158199	6.868529	13.45135	3.800597	14.903079	26.111083	29.25486	0	28.586618	4.21141
ENSRNA049465015	88.679029	20.000186	17.54978	93.136152	204.116976	112.688236	183.993741	142.916718	95.671678	100.357103	70.508622	88.05868
ENSRNA049465074	4052.099014	2167.021907	2932.373262	3737.148685	136.343416	1135.589201	2137.121409	3651.901804	970.491105	563.98067	1654.476944	234.082999
ENSRNA049465110	1996.279316	2007.736036	2561.231217	2164.68848	339.250096	1042.172258	1789.398909	2754.58079	5136.118175	630.174511	1467.320361	894.429627
ENSRNA049465132	7.592906	7.185114	7.856108	0	0	0	0	0	0	0	0	0
ENSRNA049465220	21.468773	29.112147	9.158199	6.868529	10.088513	3.800597	23.844927	48.958281	35.75594	3.830275	7.146655	4.21141
ENSRNA049465281	23.839036	33.994601	25.794267	3.77714	48.008896	42.503207	3.354785	17.114621	16.250054	4.1211	17.244208	30.98851
ENSRNA049465301	0	0	0	0	0	7.234892	0	0	0	0	0	0
